iter	RMSE
169	1.875240051
170	1.869159595
171	1.861506166
172	1.8565988
173	1.851864065
174	1.844671897
175	1.839692234
176	1.833934281
177	1.830067479
178	1.824128683
179	1.819911903
180	1.815471932
181	1.812047386
182	1.807491959
183	1.799348201
184	1.789357653
185	1.781279194
186	1.775562714
187	1.771648259
188	1.766525936
189	1.761215394
190	1.755424345
191	1.749205433
192	1.742527159
193	1.732068815
194	1.729506952
195	1.723782987
196	1.717130155
197	1.712824112
198	1.707869071
199	1.701255601
200	1.697798532
201	1.689850994
202	1.681254775
203	1.675216953
204	1.671246913
205	1.665362886
206	1.65663867
207	1.651207526
208	1.646234426
209	1.642581021
210	1.638761308
211	1.633894214
212	1.625197082
213	1.618424818
214	1.61003333
215	1.605256148
216	1.598850598
217	1.591331033
218	1.583571532
219	1.579322924
220	1.574549471
221	1.571377904
222	1.564645123
223	1.56038393
224	1.55395313
225	1.549149961
226	1.545310661
227	1.541642224
228	1.537483357
229	1.535234934
230	1.527722645
231	1.521778404
232	1.520172836
233	1.514935133
234	1.510444583
235	1.503666642
236	1.499451072
237	1.494595099
238	1.490301237
239	1.484997779
240	1.482566535
241	1.477333981
242	1.472349626
243	1.468358782
244	1.464061506
245	1.459267097
246	1.453424435
247	1.451667974
248	1.445926852
249	1.440710432
250	1.436642323
251	1.432326878
252	1.428296588
253	1.424470951
254	1.420757373
255	1.416249727
256	1.415275452
257	1.408309289
258	1.402896842
259	1.399167965
260	1.39467973
261	1.391437306
262	1.386542408
263	1.381029123
264	1.377176495
265	1.372151325
266	1.366449923
267	1.362162986
268	1.355545621
269	1.353851589
270	1.351374136
271	1.347196055
272	1.34513516
273	1.341611461
274	1.334859424
275	1.33018344
276	1.327609231
277	1.325811892
278	1.322250111
279	1.31643301
280	1.310355425
281	1.304407576
282	1.301342022
283	1.295970242
284	1.290665581
285	1.2871065
286	1.28282482
287	1.278945433
288	1.276284336
289	1.27445141
290	1.272567233
291	1.271208734
292	1.269577881
293	1.26864187
294	1.264980415
295	1.261145314
296	1.257748033
297	1.251227203
298	1.248820752
299	1.246240747
300	1.242223127
301	1.239072363
302	1.233255999
303	1.229639701
304	1.225631224
305	1.222436195
306	1.221582089
307	1.218221274
308	1.216938911
309	1.214123064
310	1.21114113
311	1.207692841
312	1.203998291
313	1.202166011
314	1.19883145
315	1.195743548
316	1.192287478
317	1.187300673
318	1.184097266
319	1.18250445
320	1.180777617
321	1.177923796
322	1.174924896
323	1.169571512
324	1.166016351
325	1.16333365
326	1.161576397
327	1.158622499
328	1.156408039
329	1.154620098
330	1.152696451
331	1.14730722
332	1.146697539
333	1.143608217
334	1.139924766
335	1.138576052
336	1.136804826
337	1.133479289
338	1.128001573
339	1.126672611
340	1.122771364
341	1.121385042
342	1.119940825
343	1.114606016
344	1.1113933
345	1.108768187
346	1.106260811
347	1.101824645
348	1.098461562
349	1.096467244
350	1.095608321
351	1.094947884
352	1.090358499
353	1.086692344
354	1.084711219
355	1.08041598
356	1.079405081
357	1.076664143
358	1.074198997
359	1.073900281
360	1.071191561
361	1.066766301
362	1.065984846
363	1.065750544
364	1.062873185
365	1.058849858
366	1.057089222
367	1.051951401
368	1.04824744
369	1.045238368
370	1.041695078
371	1.039473582
372	1.037742324
373	1.036126415
374	1.03434699
375	1.032135995
376	1.031911126
377	1.028560773
378	1.026185898
379	1.023591263
380	1.020281764
381	1.017592057
382	1.014363065
383	1.011240371
384	1.010996384
385	1.010785603
386	1.010159893
387	1.008520757
388	1.007910034
389	1.004906873
390	1.001551255
391	1.000103867
392	0.9972173959
393	0.9940277327
394	0.9914639288
395	0.9912513919
396	0.987797375
397	0.9831540639
398	0.979403432
399	0.9754120574
400	0.9729801224
401	0.969876537
402	0.9696591197
403	0.9650315441
404	0.9640132492
405	0.9611172271
406	0.9609334551
407	0.959299776
408	0.9556620538
409	0.9542553938
410	0.9530541694
411	0.9506316959
412	0.9481280149
413	0.9440609165
414	0.9403607127
415	0.9370133604
416	0.9367886673
417	0.9346020384
418	0.933681572
419	0.9310881115
420	0.927967933
421	0.9250129705
422	0.9225282241
423	0.9200942258
424	0.918091323
425	0.9146089267
426	0.912449126
427	0.9099588741
428	0.9076704675
429	0.9057714973
430	0.9038181597
431	0.9028291811
432	0.9008587411
433	0.8991808992
434	0.8956099061
435	0.8930628982
436	0.8906668026
437	0.8874889546
438	0.8855512889
439	0.8847432351
440	0.8823762894
441	0.8822152229
442	0.8810316248
443	0.8782537252
444	0.8747624571
445	0.8739908043
446	0.8702867851
447	0.868326554
448	0.8673757723
449	0.8653768676
450	0.8628828868
451	0.860133531
452	0.8578749955
453	0.8563501967
454	0.8545003411
455	0.8526240734
456	0.8495822825
457	0.8468458907
458	0.8446810166
459	0.844494588
460	0.8437953445
461	0.8420388596
462	0.8407592408
463	0.8395506501
464	0.8376975237
465	0.835132544
466	0.8326859374
467	0.8309133465
468	0.8285455871
469	0.8283702419
470	0.8281998763
471	0.8273484492
472	0.8267418431
473	0.8246281234
474	0.8213639137
475	0.8193294144
476	0.8163828227
477	0.8146638148
478	0.8130941138
479	0.8118472861
480	0.8100436255
481	0.8098501532
482	0.8092522564
483	0.8076113146
484	0.8070400095
485	0.8041856091
486	0.804036739
487	0.8024862546
488	0.80035502
489	0.7994140477
490	0.7979425584
491	0.7948866308
492	0.7923967363
493	0.7904373594
494	0.7885182584
495	0.7869981498
496	0.7848579141
497	0.7831457477
498	0.7824701836
499	0.7817297882
